x,y,date,cell,polyclass,bleu,vert,rouge,pir,pre_abs
541665,4796125,20170314,89451,eau,0.0286,0.0431,0.036,0,abs
541675,4796125,20170314,89452,eau,0.0292,0.0432,0.0353,0,abs
541685,4796125,20170314,89453,eau,0.0296,0.0423,0.0372,0,abs
541635,4796115,20170314,89875,eau,0.0277,0.0418,0.0322,0,abs
541645,4796115,20170314,89876,eau,0.0282,0.0423,0.0345,0,abs
541655,4796115,20170314,89877,eau,0.0288,0.0425,0.0351,0,abs
541665,4796115,20170314,89878,eau,0.0286,0.0424,0.0362,0,abs
541675,4796115,20170314,89879,eau,0.0283,0.043,0.0364,0,abs
541685,4796115,20170314,89880,eau,0.0302,0.0429,0.0373,0,abs
541635,4796105,20170314,90302,eau,0.028,0.0424,0.0313,0,abs
541645,4796105,20170314,90303,eau,0.0307,0.0421,0.0332,0,abs
541655,4796105,20170314,90304,eau,0.0293,0.0421,0.0348,0,abs
541665,4796105,20170314,90305,eau,0.0283,0.0415,0.0357,0,abs
541675,4796105,20170314,90306,eau,0.0283,0.0442,0.0362,0,abs
541685,4796105,20170314,90307,eau,0.0314,0.0429,0.0354,0,abs
541645,4796095,20170314,90730,eau,0.0271,0.0417,0.0316,0,abs
541655,4796095,20170314,90731,eau,0.0276,0.0407,0.033,0,abs
541665,4796095,20170314,90732,eau,0.0306,0.0413,0.0348,0,abs
541675,4796095,20170314,90733,eau,0.0291,0.0442,0.0351,0,abs
541685,4796095,20170314,90734,eau,0.0267,0.0432,0.0345,0,abs
541645,4796085,20170314,91157,eau,0.0277,0.042,0.0328,0,abs
541655,4796085,20170314,91158,eau,0.0286,0.0427,0.0334,0,abs
541665,4796085,20170314,91159,eau,0.0335,0.0419,0.0339,0,abs
541675,4796085,20170314,91160,eau,0.0309,0.0426,0.0339,0,abs
541685,4796085,20170314,91161,eau,0.0284,0.0434,0.0348,0,abs
542085,4797155,20170314,45512,hp,0.0339,0.0519,0.0357,0,abs
542095,4797155,20170314,45513,hp,0.0344,0.0494,0.0343,0,abs
542075,4797145,20170314,45938,hp,0.035,0.0531,0.0364,0,abs
542085,4797145,20170314,45939,hp,0.0341,0.0511,0.0355,0,abs
542095,4797145,20170314,45940,hp,0.0367,0.0502,0.0344,0,abs
542105,4797145,20170314,45941,hp,0.0331,0.0495,0.0329,0,abs
542115,4797145,20170314,45942,hp,0.0289,0.0445,0.0288,0,abs
542125,4797145,20170314,45943,hp,0.0307,0.0425,0.0254,0,abs
542075,4797135,20170314,46365,hp,0.0356,0.0527,0.0344,0,abs
542085,4797135,20170314,46366,hp,0.0338,0.0484,0.034,0,abs
542095,4797135,20170314,46367,hp,0.035,0.0494,0.033,0,abs
542105,4797135,20170314,46368,hp,0.0314,0.0511,0.0341,0,abs
542115,4797135,20170314,46369,hp,0.0319,0.0461,0.0314,0,abs
542125,4797135,20170314,46370,hp,0.0326,0.0441,0.0276,0,abs
542135,4797135,20170314,46371,hp,0.0302,0.0432,0.0257,0,abs
542145,4797135,20170314,46372,hp,0.0287,0.0405,0.0249,0,abs
542075,4797125,20170314,46792,hp,0.0379,0.0519,0.034,0,abs
542085,4797125,20170314,46793,hp,0.0347,0.0512,0.0328,0,abs
542095,4797125,20170314,46794,hp,0.0367,0.0487,0.0338,0,abs
542105,4797125,20170314,46795,hp,0.034,0.0507,0.0351,0,abs
542115,4797125,20170314,46796,hp,0.0311,0.0501,0.0345,0,abs
542125,4797125,20170314,46797,hp,0.0328,0.0465,0.0309,0,abs
542135,4797125,20170314,46798,hp,0.0308,0.0434,0.0266,0,abs
542145,4797125,20170314,46799,hp,0.03,0.0418,0.0279,0,abs
542155,4797125,20170314,46800,hp,0.0271,0.0387,0.0255,0,abs
542075,4797115,20170314,47219,hp,0.0351,0.0504,0.0351,0,abs
542085,4797115,20170314,47220,hp,0.0343,0.0504,0.0317,0,abs
542095,4797115,20170314,47221,hp,0.0343,0.0501,0.0337,0,abs
542105,4797115,20170314,47222,hp,0.0341,0.0505,0.0346,0,abs
542115,4797115,20170314,47223,hp,0.0343,0.0537,0.0352,0,abs
542125,4797115,20170314,47224,hp,0.0343,0.0501,0.0339,0,abs
542135,4797115,20170314,47225,hp,0.0284,0.0454,0.0291,0,abs
542145,4797115,20170314,47226,hp,0.0292,0.043,0.0281,0,abs
542155,4797115,20170314,47227,hp,0.0291,0.0378,0.0233,0,abs
542075,4797105,20170314,47646,hp,0.0353,0.0509,0.0363,0,abs
542085,4797105,20170314,47647,hp,0.0349,0.0504,0.0335,0,abs
542095,4797105,20170314,47648,hp,0.0338,0.0521,0.0342,0,abs
542105,4797105,20170314,47649,hp,0.0347,0.0524,0.0372,0,abs
542115,4797105,20170314,47650,hp,0.0358,0.0545,0.0404,0,abs
542125,4797105,20170314,47651,hp,0.0335,0.05,0.0357,0,abs
542135,4797105,20170314,47652,hp,0.0298,0.0453,0.0274,0,abs
542145,4797105,20170314,47653,hp,0.0271,0.0398,0.0252,0,abs
542155,4797105,20170314,47654,hp,0.0286,0.0357,0.0219,0,abs
542165,4797105,20170314,47655,hp,0.0291,0.0355,0.0225,0,abs
542105,4797095,20170314,48076,hp,0.0332,0.0508,0.0353,0,abs
542115,4797095,20170314,48077,hp,0.0359,0.0552,0.0359,0,abs
542125,4797095,20170314,48078,hp,0.0323,0.0486,0.033,0,abs
542135,4797095,20170314,48079,hp,0.0305,0.0433,0.0268,0,abs
541885,4797475,20170314,31828,hp,0.0405,0.0584,0.0416,0,abs
541855,4797465,20170314,32252,hp,0.0411,0.0588,0.0402,0,abs
541865,4797465,20170314,32253,hp,0.0402,0.0571,0.0437,0,abs
541875,4797465,20170314,32254,hp,0.039,0.0583,0.0406,0,abs
541885,4797465,20170314,32255,hp,0.0404,0.0574,0.0404,0,abs
541855,4797455,20170314,32679,hp,0.0414,0.0588,0.0424,0,abs
541865,4797455,20170314,32680,hp,0.0375,0.0583,0.0409,0,abs
541875,4797455,20170314,32681,hp,0.0375,0.0577,0.0392,0,abs
541885,4797455,20170314,32682,hp,0.0386,0.0592,0.0393,0,abs
541855,4797445,20170314,33106,hp,0.0398,0.0583,0.0403,0,abs
541865,4797445,20170314,33107,hp,0.0363,0.0584,0.0394,0,abs
541875,4797445,20170314,33108,hp,0.0386,0.0587,0.0405,0,abs
541885,4797445,20170314,33109,hp,0.0416,0.0596,0.0393,0,abs
541895,4797445,20170314,33110,hp,0.0419,0.059,0.0395,0,abs
541865,4797435,20170314,33534,hp,0.0378,0.0583,0.0396,0,abs
541875,4797435,20170314,33535,hp,0.0408,0.0576,0.0406,0,abs
541885,4797435,20170314,33536,hp,0.0399,0.0577,0.0388,0,abs
542135,4797085,20170314,48506,hp,0.0309,0.0427,0.0285,0,abs
542145,4797085,20170314,48507,hp,0.0271,0.037,0.0236,0,abs
542155,4797085,20170314,48508,hp,0.0277,0.0377,0.0205,0,abs
542135,4797075,20170314,48933,hp,0.0312,0.0433,0.0277,0,abs
542145,4797075,20170314,48934,hp,0.027,0.037,0.0241,0,abs
542155,4797075,20170314,48935,hp,0.0279,0.0351,0.0223,0,abs
542135,4797065,20170314,49360,hp,0.0315,0.0392,0.0235,0,abs
